sample_id,collected_at,posting_date,collection_method,robots_terms_checked,source_log_id,search_keyword,platform,company,industry,job_title,normalized_role,experience_level,min_experience_years,education_level,employment_type,required_skills,skill_tags,domain_requirement,compensation,location,url,raw_file,manual_reviewed,notes,review_decision,review_reason,review_flags,dedupe_key,recommended_sample_id
,2026-05-12,2026-03-15,auto,yes,LOG-202,technical_role=engineer;software ai_evidence=model serving;inference;llm;large language;rag locations=Seoul,ashby,FriendliAI,,Software Engineer – Senior Backend,mlops_platform_engineer,,,,FullTime,,python;sql;cloud;docker_k8s;llm;rag;mlops,,,Seoul,https://jobs.ashbyhq.com/friendliai/5fd918c3-70c8-44f1-b080-2aef9520b312,01_research/raw/public_ats/ATS-002_ashby_friendliai_2026-05-12.json,no,target_id=ATS-002; provider=ashby; raw_id=5fd918c3-70c8-44f1-b080-2aef9520b312; public_ats_api; requires_manual_review,include,technical_role_with_ai_evidence:ai;ml;llm;rag;model,technical_ai_role,friendliai|software engineer – senior backend|seoul,JOB-008
,2026-05-12,2026-04-29,auto,yes,LOG-202,technical_role=engineer;developer;software ai_evidence=inference;llm;large language;rag locations=Seoul,ashby,FriendliAI,,Software Engineer – Python Developer Tools,applied_ai_developer,,,,FullTime,,python;cloud;docker_k8s;llm;rag,,,Seoul,https://jobs.ashbyhq.com/friendliai/24a3b46f-6afd-4410-91ec-b51ef0ee8317,01_research/raw/public_ats/ATS-002_ashby_friendliai_2026-05-12.json,no,target_id=ATS-002; provider=ashby; raw_id=24a3b46f-6afd-4410-91ec-b51ef0ee8317; public_ats_api; requires_manual_review,include,technical_role_with_ai_evidence:ai;llm;rag;inference;python,technical_ai_role,friendliai|software engineer – python developer tools|seoul,JOB-009
,2026-05-12,2026-03-24,auto,yes,LOG-202,technical_role=engineer;software ai_evidence=inference;llm;large language;rag;ai agent locations=Seoul,ashby,FriendliAI,,Software Engineer – AI Agents,applied_ai_developer,,,,FullTime,,python;cloud;docker_k8s;llm;rag,,,Seoul,https://jobs.ashbyhq.com/friendliai/2c922001-cccf-4006-9730-5488d4efaba6,01_research/raw/public_ats/ATS-002_ashby_friendliai_2026-05-12.json,no,target_id=ATS-002; provider=ashby; raw_id=2c922001-cccf-4006-9730-5488d4efaba6; public_ats_api; requires_manual_review,include,technical_role_with_ai_evidence:ai;llm;rag;inference;python,technical_ai_role,friendliai|software engineer – ai agents|seoul,JOB-010
,2026-05-12,2026-04-22,auto,yes,LOG-202,strong_title=inference keywords=AI;Machine Learning;Inference;Engineer;Research;GPU locations=Seoul,ashby,FriendliAI,,Software Engineer – AI Inference Engine,ml_engineer,,,,FullTime,,python;cloud;llm;rag,,,Seoul,https://jobs.ashbyhq.com/friendliai/8da9914d-efe1-4bb1-96a9-a10eceab67fe,01_research/raw/public_ats/ATS-002_ashby_friendliai_2026-05-12.json,no,target_id=ATS-002; provider=ashby; raw_id=8da9914d-efe1-4bb1-96a9-a10eceab67fe; public_ats_api; requires_manual_review,include,technical_role_with_ai_evidence:ai;machine learning;llm;rag;inference,technical_ai_role,friendliai|software engineer – ai inference engine|seoul,JOB-011
,2026-05-12,2026-04-22,auto,yes,LOG-202,strong_title=gpu keywords=AI;ML;Inference;Engineer;Research;GPU locations=Seoul,ashby,FriendliAI,,Software Engineer – GPU Kernel,mlops_platform_engineer,,,,FullTime,,llm;rag,,,Seoul,https://jobs.ashbyhq.com/friendliai/cd4dd23b-cf94-46ec-afc3-f84037dca735,01_research/raw/public_ats/ATS-002_ashby_friendliai_2026-05-12.json,no,target_id=ATS-002; provider=ashby; raw_id=cd4dd23b-cf94-46ec-afc3-f84037dca735; public_ats_api; requires_manual_review,include,strong_ai_title:gpu,strong_ai_title,friendliai|software engineer – gpu kernel|seoul,JOB-012
,2026-05-12,,auto,yes,LOG-205,strong_title=machine learning;ai scientist keywords=AI;Machine Learning;ML;Software Engineer;Research locations=Seoul;Yeoksam,lever,Gauss Labs,,AI Scientist - Machine Learning (US/KR),ml_engineer,,,,Full-time,,,,,"Palo Alto, CA / Yeoksam, Seoul",https://jobs.lever.co/gausslabs/dbfd0b6c-d2e9-460c-91a0-6dde6f29046d,01_research/raw/public_ats/ATS-005_lever_gausslabs_2026-05-12.json,no,target_id=ATS-005; provider=lever; raw_id=dbfd0b6c-d2e9-460c-91a0-6dde6f29046d; public_ats_api; requires_manual_review,include,strong_ai_title:machine learning;ai scientist,strong_ai_title,"gauss labs|ai scientist - machine learning (us/kr)|palo alto, ca / yeoksam, seoul",JOB-013
,2026-05-12,,auto,yes,LOG-205,strong_title=data scientist keywords=AI;Data Scientist locations=Seoul;Yeoksam,lever,Gauss Labs,,Senior Data Scientist - Manufacturing Data (KR),data_scientist,,,,Full-time,,rag,,,"Yeoksam, Seoul",https://jobs.lever.co/gausslabs/dd91f0de-3de8-4f5f-90df-511592d6ddad,01_research/raw/public_ats/ATS-005_lever_gausslabs_2026-05-12.json,no,target_id=ATS-005; provider=lever; raw_id=dd91f0de-3de8-4f5f-90df-511592d6ddad; public_ats_api; requires_manual_review,include,strong_ai_title:data scientist,strong_ai_title,"gauss labs|senior data scientist - manufacturing data (kr)|yeoksam, seoul",JOB-014
,2026-05-12,,auto,yes,LOG-206,strong_title=ai engineer;applied ai keywords=AI;Applied AI;ML;Engineer locations=Seoul,lever,Channel Corp,,Applied AI Engineer,applied_ai_developer,,,,주니어/시니어/정규직,,,,,Seoul,https://jobs.lever.co/zoyi/9ae3038a-70e9-40da-85dd-c7c854bb4527,01_research/raw/public_ats/ATS-006_lever_zoyi_2026-05-12.json,no,target_id=ATS-006; provider=lever; raw_id=9ae3038a-70e9-40da-85dd-c7c854bb4527; public_ats_api; requires_manual_review,include,strong_ai_title:ai engineer;applied ai,strong_ai_title,channel corp|applied ai engineer|seoul,JOB-015
,2026-05-12,,auto,yes,LOG-207,strong_title=machine learning keywords=AI;Machine Learning;ML;Trust;Safety;Engineer;Research locations=Seoul;Korea,lever,Match Group,,Machine Learning Engineer (Match Group AI | 전문연구요원 편입/전직 가능),ai_deep_learning_engineer,,,,Full-time,,llm;nlp;recommender,,,"Seoul, South Korea",https://jobs.lever.co/matchgroup/edf748a7-a883-4fef-8112-8cbfba14afa3,01_research/raw/public_ats/ATS-007_lever_matchgroup_2026-05-12.json,no,target_id=ATS-007; provider=lever; raw_id=edf748a7-a883-4fef-8112-8cbfba14afa3; public_ats_api; requires_manual_review,include,strong_ai_title:machine learning,strong_ai_title,"match group|machine learning engineer (match group ai | 전문연구요원 편입/전직 가능)|seoul, south korea",JOB-016
,2026-05-12,,auto,yes,LOG-207,strong_title=machine learning keywords=AI;Machine Learning;ML;Trust;Safety;Engineer;Research locations=Seoul;Korea,lever,Match Group,,Senior Machine Learning Engineer (Match Group AI),ai_deep_learning_engineer,,,,Full-time,,llm;nlp;recommender,,,"Seoul, South Korea",https://jobs.lever.co/matchgroup/4eca7f77-c7f3-4225-bf81-6c409c25f66f,01_research/raw/public_ats/ATS-007_lever_matchgroup_2026-05-12.json,no,target_id=ATS-007; provider=lever; raw_id=4eca7f77-c7f3-4225-bf81-6c409c25f66f; public_ats_api; requires_manual_review,include,strong_ai_title:machine learning,strong_ai_title,"match group|senior machine learning engineer (match group ai)|seoul, south korea",JOB-017
