sample_id,collected_at,posting_date,collection_method,robots_terms_checked,source_log_id,search_keyword,platform,company,industry,job_title,normalized_role,experience_level,min_experience_years,education_level,employment_type,required_skills,skill_tags,domain_requirement,compensation,location,url,raw_file,manual_reviewed,notes,review_decision,review_reason,review_flags,dedupe_key,recommended_sample_id
,2026-05-12,2026-04-13,auto,yes,LOG-208,strong_title=machine learning keywords=AI;Machine Learning;ML;VLM;Video;Research;Engineer;LLM;Data;Search locations=Seoul;Korea,ashby,TwelveLabs,,"Senior Machine Learning Engineer, Pegasus",mlops_platform_engineer,,,,FullTime,,cloud;docker_k8s;llm;cv;mlops,,,"Seoul, South Korea",https://jobs.ashbyhq.com/twelve-labs/e3dfecdc-7ad3-4dd0-845c-926c7c67ad38,01_research/raw/public_ats/ATS-008_ashby_twelve-labs_2026-05-12.json,no,target_id=ATS-008; provider=ashby; raw_id=e3dfecdc-7ad3-4dd0-845c-926c7c67ad38; public_ats_api; requires_manual_review,include,strong_ai_title:machine learning,strong_ai_title,"twelvelabs|senior machine learning engineer, pegasus|seoul, south korea",JOB-028
,2026-05-12,2026-04-13,auto,yes,LOG-208,strong_title=machine learning keywords=AI;Machine Learning;ML;VLM;Video;Research;Engineer;LLM;Data;Search locations=Seoul;Korea,ashby,TwelveLabs,,"Staff Machine Learning Engineer, Pegasus",ml_engineer,,,,FullTime,,cloud;docker_k8s;llm;rag;cv,,,"Seoul, South Korea",https://jobs.ashbyhq.com/twelve-labs/26ef6d4c-4c20-4cca-8826-08a6c9921957,01_research/raw/public_ats/ATS-008_ashby_twelve-labs_2026-05-12.json,no,target_id=ATS-008; provider=ashby; raw_id=26ef6d4c-4c20-4cca-8826-08a6c9921957; public_ats_api; requires_manual_review,include,strong_ai_title:machine learning,strong_ai_title,"twelvelabs|staff machine learning engineer, pegasus|seoul, south korea",JOB-029
,2026-05-12,2026-04-10,auto,yes,LOG-208,strong_title=research scientist keywords=AI;Machine Learning;ML;Video;Research;Engineer;LLM;Data;Search locations=Seoul;Korea,ashby,TwelveLabs,,"ML Research Scientist, Pegasus",ai_researcher,,,,FullTime,,python;pytorch;cloud;llm;rag;cv,,,"Seoul, South Korea",https://jobs.ashbyhq.com/twelve-labs/085694a9-f782-498b-b893-0ccb9e58e8eb,01_research/raw/public_ats/ATS-008_ashby_twelve-labs_2026-05-12.json,no,target_id=ATS-008; provider=ashby; raw_id=085694a9-f782-498b-b893-0ccb9e58e8eb; public_ats_api; requires_manual_review,include,strong_ai_title:research scientist,strong_ai_title,"twelvelabs|ml research scientist, pegasus|seoul, south korea",JOB-030
,2026-05-12,,auto,yes,LOG-209,strong_title=machine learning keywords=Machine Learning;Engineer;R&D;3D locations=Seoul,lever,CLO Virtual Fashion,,"Machine Learning Engineer (전문연구요원, alternative military service), R&D",ml_engineer,,,,Full Time,,,,,Seoul,https://jobs.lever.co/clovirtualfashion/dd5c876e-e91d-495d-b0eb-0aea8f0594dd,01_research/raw/public_ats/ATS-009_lever_clovirtualfashion_2026-05-12.json,no,target_id=ATS-009; provider=lever; raw_id=dd5c876e-e91d-495d-b0eb-0aea8f0594dd; public_ats_api; requires_manual_review,include,strong_ai_title:machine learning,strong_ai_title,"clo virtual fashion|machine learning engineer (전문연구요원, alternative military service), r&d|seoul",JOB-031
,2026-05-12,,auto,yes,LOG-209,strong_title=machine learning keywords=Machine Learning;Engineer;R&D;3D locations=Seoul,lever,CLO Virtual Fashion,,"Machine Learning Engineer, R&D",ml_engineer,,,,Full Time,,,,,Seoul,https://jobs.lever.co/clovirtualfashion/c03ac899-637b-40d4-8ab3-24b659f60d3f,01_research/raw/public_ats/ATS-009_lever_clovirtualfashion_2026-05-12.json,no,target_id=ATS-009; provider=lever; raw_id=c03ac899-637b-40d4-8ab3-24b659f60d3f; public_ats_api; requires_manual_review,include,strong_ai_title:machine learning,strong_ai_title,"clo virtual fashion|machine learning engineer, r&d|seoul",JOB-032
,2026-05-12,2026-03-26,auto,yes,LOG-210,strong_title=ai engineer keywords=AI;ML;Engineer;LLM;Agent;Accounting;Audit;Data locations=Seoul;Korea,ashby,Fieldguide,,Senior AI Engineer (Korea),applied_ai_developer,,,,FullTime,,python;llm;rag,,"₩149,154,361 - ₩162,208,031","Seoul, South Korea",https://jobs.ashbyhq.com/fieldguide/b2f091ee-6319-42d3-b4fe-6a416f742639,01_research/raw/public_ats/ATS-010_ashby_fieldguide_2026-05-12.json,no,target_id=ATS-010; provider=ashby; raw_id=b2f091ee-6319-42d3-b4fe-6a416f742639; public_ats_api; requires_manual_review,include,strong_ai_title:ai engineer,strong_ai_title,"fieldguide|senior ai engineer (korea)|seoul, south korea",JOB-033
,2026-05-12,2026-03-26,auto,yes,LOG-210,strong_title=ai engineer keywords=AI;ML;Engineer;LLM;Agent;Accounting;Audit;Data locations=Seoul;Korea,ashby,Fieldguide,,AI Engineer (Korea),applied_ai_developer,,,,FullTime,,python;llm;rag,,"₩111,754,979 - ₩124,399,638","Seoul, South Korea",https://jobs.ashbyhq.com/fieldguide/e4449697-06e3-4864-b077-c1ed4130e3cf,01_research/raw/public_ats/ATS-010_ashby_fieldguide_2026-05-12.json,no,target_id=ATS-010; provider=ashby; raw_id=e4449697-06e3-4864-b077-c1ed4130e3cf; public_ats_api; requires_manual_review,include,strong_ai_title:ai engineer,strong_ai_title,"fieldguide|ai engineer (korea)|seoul, south korea",JOB-034
,2026-05-12,,auto,yes,LOG-211,strong_title=data scientist keywords=AI;Data Scientist;Data Science locations=Seoul;South Korea;Korea,lever,Binance,,"Data Scientist, Market Growth (Lifecycle)",data_scientist,,,,Full-time: Remote,,rag,,,"Asia; Hong Kong; Taiwan, Taipei; Australia, Brisbane; Australia, Melbourne; Australia, Sydney; Japan, Tokyo; South Korea, Seoul",https://jobs.lever.co/binance/16d56d5d-98c0-4942-9a22-54ca4b2b33e9,01_research/raw/public_ats/ATS-011_lever_binance_2026-05-12.json,no,target_id=ATS-011; provider=lever; raw_id=16d56d5d-98c0-4942-9a22-54ca4b2b33e9; public_ats_api; requires_manual_review,include,strong_ai_title:data scientist,strong_ai_title,"binance|data scientist, market growth (lifecycle)|asia; hong kong; taiwan, taipei; australia, brisbane; australia, melbourne; australia, sydney; japan, tokyo; south korea, seoul",JOB-035
,2026-05-12,,auto,yes,LOG-211,technical_role=engineer;software ai_evidence=rag;ai agent locations=Seoul;South Korea;Korea,lever,Binance,,"Senior Software Engineer, Internal Applications (AI Agent)",applied_ai_developer,,,,Full-time: Remote,,rag,,,"Taiwan, Taipei; Asia; Thailand, Bangkok; Australia, Brisbane; Australia, Melbourne; Australia, Sydney; South East Asia; Japan, Tokyo; South Korea, Seoul",https://jobs.lever.co/binance/ec19eeba-e365-433b-bd14-0cc0a21d6a8d,01_research/raw/public_ats/ATS-011_lever_binance_2026-05-12.json,no,target_id=ATS-011; provider=lever; raw_id=ec19eeba-e365-433b-bd14-0cc0a21d6a8d; public_ats_api; requires_manual_review,include,technical_role_with_ai_evidence:ai;rag;agent,technical_ai_role,"binance|senior software engineer, internal applications (ai agent)|taiwan, taipei; asia; thailand, bangkok; australia, brisbane; australia, melbourne; australia, sydney; south east asia; japan, tokyo; south korea, seoul",JOB-036
,2026-05-12,,auto,yes,LOG-212,technical_role=engineer;software ai_evidence=advancements in ai;cutting-edge ai;rag locations=Seoul;South Korea;Korea,lever,Palantir,,Forward Deployed Software Engineer,applied_ai_developer,,,,Full-time,,rag,,,"Seoul, South Korea",https://jobs.lever.co/palantir/1bb19522-3936-4adc-9ced-c3df8b5900b9,01_research/raw/public_ats/ATS-012_lever_palantir_2026-05-12.json,no,target_id=ATS-012; provider=lever; raw_id=1bb19522-3936-4adc-9ced-c3df8b5900b9; public_ats_api; requires_manual_review,include,technical_role_with_ai_evidence:ai;rag,technical_ai_role,"palantir|forward deployed software engineer|seoul, south korea",JOB-037
