candidate_id,sample_id,source_log_id,reviewed_at,reviewer,include_decision,exclude_reason,duplicate_of,company,job_title,normalized_role,experience_level,required_skills,skill_tags,domain_requirement,url,raw_file,review_notes
CAND-ATS-015,,LOG-202,,,hold,,,FriendliAI,Software Engineer – GPU Kernel,applied_ai_developer,,,llm;rag,,https://jobs.ashbyhq.com/friendliai/cd4dd23b-cf94-46ec-afc3-f84037dca735,01_research/raw/public_ats/ATS-002_ashby_friendliai_2026-05-12.json,target_id=ATS-002; provider=ashby; raw_id=cd4dd23b-cf94-46ec-afc3-f84037dca735; public_ats_api; requires_manual_review
CAND-ATS-016,,LOG-205,,,hold,,,Gauss Labs,AI Scientist - Machine Learning (US/KR),ai_researcher,,,,,https://jobs.lever.co/gausslabs/dbfd0b6c-d2e9-460c-91a0-6dde6f29046d,01_research/raw/public_ats/ATS-005_lever_gausslabs_2026-05-12.json,target_id=ATS-005; provider=lever; raw_id=dbfd0b6c-d2e9-460c-91a0-6dde6f29046d; public_ats_api; requires_manual_review
CAND-ATS-017,,LOG-205,,,hold,,,Gauss Labs,Senior Data Scientist - Manufacturing Data (KR),applied_ai_developer,,,rag,,https://jobs.lever.co/gausslabs/dd91f0de-3de8-4f5f-90df-511592d6ddad,01_research/raw/public_ats/ATS-005_lever_gausslabs_2026-05-12.json,target_id=ATS-005; provider=lever; raw_id=dd91f0de-3de8-4f5f-90df-511592d6ddad; public_ats_api; requires_manual_review
CAND-ATS-018,,LOG-206,,,hold,,,Channel Corp,Applied AI Engineer,applied_ai_developer,,,,,https://jobs.lever.co/zoyi/9ae3038a-70e9-40da-85dd-c7c854bb4527,01_research/raw/public_ats/ATS-006_lever_zoyi_2026-05-12.json,target_id=ATS-006; provider=lever; raw_id=9ae3038a-70e9-40da-85dd-c7c854bb4527; public_ats_api; requires_manual_review
CAND-ATS-019,,LOG-207,,,hold,,,Match Group,Machine Learning Engineer (Match Group AI | 전문연구요원 편입/전직 가능),ai_researcher,,,llm;nlp;recommender,,https://jobs.lever.co/matchgroup/edf748a7-a883-4fef-8112-8cbfba14afa3,01_research/raw/public_ats/ATS-007_lever_matchgroup_2026-05-12.json,target_id=ATS-007; provider=lever; raw_id=edf748a7-a883-4fef-8112-8cbfba14afa3; public_ats_api; requires_manual_review
CAND-ATS-020,,LOG-207,,,hold,,,Match Group,Senior Machine Learning Engineer (Match Group AI),ml_engineer,,,llm;nlp;recommender,,https://jobs.lever.co/matchgroup/4eca7f77-c7f3-4225-bf81-6c409c25f66f,01_research/raw/public_ats/ATS-007_lever_matchgroup_2026-05-12.json,target_id=ATS-007; provider=lever; raw_id=4eca7f77-c7f3-4225-bf81-6c409c25f66f; public_ats_api; requires_manual_review
CAND-ATS-021,,LOG-208,,,hold,,,TwelveLabs,Senior ML Data Engineer,applied_ai_developer,,,python;llm;cv,,https://jobs.ashbyhq.com/twelve-labs/9093911f-5479-45c2-b839-be5689cccc8b,01_research/raw/public_ats/ATS-008_ashby_twelve-labs_2026-05-12.json,target_id=ATS-008; provider=ashby; raw_id=9093911f-5479-45c2-b839-be5689cccc8b; public_ats_api; requires_manual_review
CAND-ATS-022,,LOG-208,,,hold,,,TwelveLabs,"Staff ML Research Engineer, Marengo",ai_researcher,,,python;pytorch;llm;rag;nlp;cv,,https://jobs.ashbyhq.com/twelve-labs/38e8e1c9-bf91-449c-b64a-c3f481099801,01_research/raw/public_ats/ATS-008_ashby_twelve-labs_2026-05-12.json,target_id=ATS-008; provider=ashby; raw_id=38e8e1c9-bf91-449c-b64a-c3f481099801; public_ats_api; requires_manual_review
CAND-ATS-023,,LOG-208,,,hold,,,TwelveLabs,"ML Research Engineer, Video Cognition System",applied_ai_developer,,,python;pytorch;cloud;llm;rag;cv,,https://jobs.ashbyhq.com/twelve-labs/7ccdb7ae-1d16-4f87-939b-a50a8873465d,01_research/raw/public_ats/ATS-008_ashby_twelve-labs_2026-05-12.json,target_id=ATS-008; provider=ashby; raw_id=7ccdb7ae-1d16-4f87-939b-a50a8873465d; public_ats_api; requires_manual_review
CAND-ATS-024,,LOG-208,,,hold,,,TwelveLabs,"Solutions Architect, APAC",applied_ai_developer,,,python;cloud;llm;rag;cv,,https://jobs.ashbyhq.com/twelve-labs/169be654-ac7f-452c-aa49-55919da29341,01_research/raw/public_ats/ATS-008_ashby_twelve-labs_2026-05-12.json,target_id=ATS-008; provider=ashby; raw_id=169be654-ac7f-452c-aa49-55919da29341; public_ats_api; requires_manual_review
